"Week","Season Type","Start Date","Completed","Home Id","Home Team","Home Division","Home Conference","Home Points","Away Id","Away Team","Away Division","Away Conference","Away Points"
"1","regular","2024-08-24T04:00:00.000Z","true","124179","Lincoln (CA)","ii","Independent DII","7","108382","College of Idaho","","","45"
"1","regular","2024-08-24T16:00:00.000Z","true","59","Georgia Tech","fbs","ACC","24","52","Florida State","fbs","ACC","21"
"1","regular","2024-08-24T19:30:00.000Z","true","2627","Tarleton State","fcs","UAC","26","2377","McNeese","fcs","Southland","23"
"1","regular","2024-08-24T20:00:00.000Z","true","167","New Mexico","fbs","Mountain West","31","147","Montana State","fcs","Big Sky","35"
"1","regular","2024-08-24T23:00:00.000Z","true","2546","Southeast Missouri State","fcs","Big South-OVC","37","2453","North Alabama","fcs","UAC","15"
"1","regular","2024-08-24T23:30:00.000Z","true","2450","Norfolk State","fcs","MEAC","23","50","Florida A&M","fcs","SWAC","24"
"1","regular","2024-08-25T00:00:00.000Z","true","2440","Nevada","fbs","Mountain West","24","2567","SMU","fbs","ACC","29"
"1","regular","2024-08-25T03:59:00.000Z","true","62","Hawai'i","fbs","Mountain West","35","2169","Delaware State","fcs","MEAC","14"
"1","regular","2024-08-29T04:00:00.000Z","true","2834","Sul Ross State","ii","Lone Star","21","2704","West Texas A&M","ii","Lone Star","42"
"1","regular","2024-08-29T22:00:00.000Z","true","2105","Carson-Newman College","ii","South Atlantic","50","2890","Reinhardt University","","","7"
"1","regular","2024-08-29T22:00:00.000Z","true","2413","Morehead State","fcs","Pioneer","17","2119","Central State (OH)","ii","SIAC","10"
"1","regular","2024-08-29T22:00:00.000Z","true","128","Northern Michigan","ii","GLIAC","7","134","Minnesota Duluth","ii","Northern Sun","35"
"1","regular","2024-08-29T22:00:00.000Z","true","164","Rutgers","fbs","Big Ten","44","47","Howard","fcs","MEAC","7"
"1","regular","2024-08-29T22:00:00.000Z","true","222","Villanova","fcs","CAA","24","2754","Youngstown State","fcs","MVFC","17"
"1","regular","2024-08-29T23:00:00.000Z","true","2084","Buffalo","fbs","Mid-American","30","322","Lafayette","fcs","Patriot","13"
"1","regular","2024-08-29T23:00:00.000Z","true","48","Delaware","fcs","CAA","48","2803","Bryant","fcs","CAA","17"
"1","regular","2024-08-29T23:00:00.000Z","true","2729","William & Mary","fcs","CAA","41","2678","VMI","fcs","Southern","7"
"1","regular","2024-08-29T23:00:00.000Z","true","2117","Central Michigan","fbs","Mid-American","66","2115","Central Connecticut","fcs","NEC","10"
"1","regular","2024-08-29T23:00:00.000Z","true","189","Bowling Green","fbs","Mid-American","41","2230","Fordham","fcs","Patriot","17"
"1","regular","2024-08-29T23:00:00.000Z","true","2382","Mercer","fcs","Southern","63","2506","Presbyterian","fcs","Pioneer","10"
"1","regular","2024-08-29T23:00:00.000Z","true","2241","Gardner-Webb","fcs","Big South-OVC","20","2747","Wofford","fcs","Southern","21"
"1","regular","2024-08-29T23:00:00.000Z","true","132","Bemidji State","ii","Northern Sun","19","2392","Michigan Tech","ii","GLIAC","13"
"1","regular","2024-08-29T23:00:00.000Z","true","2699","West Liberty","ii","Mountain East","21","2682","Walsh","ii","Great Midwest Athletic","41"
